Zoning Category,Land Area (Acres),Existing UTC % Land Area,Existing UTC % Zoning Category,Existing UTC % UTC Type,Possible UTC -Vegetation % Land Area,Possible UTC -Vegetation % Zoning Category,Possible UTC -Vegetation % UTC Type,Possible UTC -Impervious % Land Area,Possible UTC -Impervious % Zoning Category,Possible UTC -Impervious % UTC Type
D2 FBC,181,0.10%,9.20%,0.40%,0.30%,25.10%,1.00%,0.60%,43.10%,2.90%
GMU,644,0.50%,10.00%,1.60%,1.00%,19.80%,2.80%,2.60%,52.50%,12.40%
GR,"2,994",9.40%,41.00%,29.90%,9.00%,39.30%,26.30%,1.90%,8.20%,9.00%
HLB,11,0.00%,10.20%,0.00%,0.00%,21.70%,0.10%,0.00%,34.90%,0.10%
HLO,13,0.00%,24.20%,0.10%,0.00%,13.00%,0.00%,0.00%,29.20%,0.10%
HR,292,0.90%,38.40%,2.70%,0.40%,19.50%,1.30%,0.40%,15.70%,1.70%
IL,673,0.80%,14.90%,2.40%,1.20%,24.10%,3.60%,2.30%,45.40%,11.20%
IN,1313,2.80%,27.90%,8.90%,2.30%,22.50%,6.60%,4.60%,45.90%,22.10%
MX/EMP,54,0.10%,29.30%,0.40%,0.20%,54.00%,0.60%,0.10%,16.70%,0.30%
NMU,111,0.10%,17.60%,0.50%,0.20%,22.40%,0.60%,0.40%,42.10%,1.70%
NR,57,0.30%,62.80%,0.90%,0.10%,25.00%,0.30%,0.00%,5.60%,0.10%
P1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PRESERVATION/GOVT,390,0.90%,31.70%,3.00%,1.80%,58.90%,5.10%,0.30%,9.30%,1.30%
RAC,31,0.20%,68.40%,0.50%,0.10%,31.10%,0.20%,0.00%,0.60%,0.00%
SD,79,0.00%,4.50%,0.10%,0.20%,32.90%,0.60%,0.30%,43.10%,1.20%
T3,49,0.00%,8.90%,0.10%,0.20%,45.00%,0.50%,0.10%,33.00%,0.60%
T4,52,0.10%,13.50%,0.20%,0.10%,26.70%,0.30%,0.10%,36.50%,0.70%
T5,50,0.00%,5.50%,0.10%,0.10%,27.10%,0.30%,0.10%,27.00%,0.50%
T6,61,0.00%,5.90%,0.10%,0.10%,16.10%,0.20%,0.20%,46.80%,1.00%
UR,4275,11.50%,35.10%,36.60%,12.30%,37.80%,36.10%,3.60%,11.00%,17.30%
URH,1757,3.60%,26.70%,11.40%,4.60%,34.30%,13.50%,3.20%,23.80%,15.40%
WF,6,0.00%,10.90%,0.00%,0.00%,16.80%,0.00%,0.00%,55.60%,0.10%
